seed,model,noise_type,level,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
42,vit_small_patch16_224,mask_edge,0.7,0.7033333333333334,0.6740947075208914,0.6229508196721312,0.7873684210526316,0.6698882,0.5860699
42,vit_small_patch16_224,mask_edge,0.5,0.45,0.23275862068965517,0.3050847457627119,0.5884101040118871,0.6688366,0.53844213
42,vit_small_patch16_224,mask_edge,0.3,0.45166666666666666,0.00975609756097561,0.5008944543828264,0.5963302752293578,0.47050518,0.4697575
43,resnet50,blur,0.0,0.6833333333333333,0.644808743169399,0.5817174515235457,0.7906976744186046,0.6556378,0.5623107
43,resnet50,blur,1.0,0.465,0.6004962779156328,0.47285464098073554,0.20353982300884957,0.46373084,0.43698472
43,resnet50,blur,2.0,0.39,0.5250596658711217,0.4268502581755594,0.0,0.45688862,0.49382216
43,resnet50,blur,4.0,0.33166666666666667,0.12017167381974249,0.48239895697522817,0.0,0.553567,0.6416533
43,resnet50,blur,8.0,0.3283333333333333,0.05555555555555555,0.4872448979591837,0.0,0.7023611,0.75459355
43,resnet50,mask_random,0.0,0.6833333333333333,0.644808743169399,0.5817174515235457,0.7906976744186046,0.6556378,0.5623107
43,resnet50,mask_random,0.25,0.34833333333333333,0.152,0.5066666666666667,0.0,0.7009746,0.61491454
43,resnet50,mask_random,0.5,0.3333333333333333,0.0,0.5,0.0,0.9979722,0.9941158
43,resnet50,mask_random,0.75,0.3333333333333333,0.0,0.5,0.0,0.94970894,0.90836686
43,resnet50,mask_centre,0.0,0.6833333333333333,0.644808743169399,0.5817174515235457,0.7906976744186046,0.6556378,0.5623107
43,resnet50,mask_centre,0.3,0.6683333333333333,0.6045197740112994,0.581151832460733,0.7887931034482759,0.5146759,0.4565434
43,resnet50,mask_centre,0.5,0.38666666666666666,0.2796610169491525,0.5209424083769634,0.0,0.4927643,0.4877593
43,resnet50,mask_centre,0.7,0.3333333333333333,0.0,0.5,0.0,0.58041894,0.58236885
43,resnet50,mask_edge,1.0,0.6833333333333333,0.644808743169399,0.5817174515235457,0.7906976744186046,0.6556378,0.5623107
43,resnet50,mask_edge,0.7,0.3333333333333333,0.5,0.0,0.0,0.53873914,0.50536424
43,resnet50,mask_edge,0.5,0.3333333333333333,0.5,0.0,0.0,0.664639,0.6627884
43,resnet50,mask_edge,0.3,0.3333333333333333,0.4967824967824968,0.06278026905829596,0.0,0.51578254,0.5119936
43,vit_small_patch16_224,blur,0.0,0.6783333333333333,0.6103542234332425,0.595,0.812933025404157,0.7212868,0.61247444
43,vit_small_patch16_224,blur,1.0,0.665,0.6262626262626263,0.5742574257425742,0.795,0.71664286,0.6072339
43,vit_small_patch16_224,blur,2.0,0.575,0.6142857142857143,0.5204301075268817,0.6031746031746031,0.66565686,0.5643989
43,vit_small_patch16_224,blur,4.0,0.41333333333333333,0.16521739130434782,0.5137880986937591,0.3701067615658363,0.5147943,0.47801617
43,vit_small_patch16_224,blur,8.0,0.3466666666666667,0.05687203791469194,0.5,0.07511737089201878,0.5188719,0.511086
43,vit_small_patch16_224,mask_random,0.0,0.6783333333333333,0.6103542234332425,0.595,0.812933025404157,0.7212868,0.61247444
43,vit_small_patch16_224,mask_random,0.25,0.3333333333333333,0.5,0.0,0.0,0.5806741,0.58423966
43,vit_small_patch16_224,mask_random,0.5,0.32666666666666666,0.491183879093199,0.0,0.009708737864077669,0.53641033,0.53686786
43,vit_small_patch16_224,mask_random,0.75,0.33,0.4968632371392723,0.0,0.0,0.45424744,0.45540836
